docId,filename,0 fhir resource patient,1 image images dicom,2 type device list,3 message messages send,4 heart rate watch,5 niftynet image label,6 dicom file image,7 app healthkit health,8 segment field segments,9 oauth url information,10 google fit api,11 python pydicom frame,12 data read information,13 database document xml,14 server request service,15 class project create,16 code method function,17 dicom server study,18 error code project,19 find don set
2927,file2927.txt,0.006864744965917528,0.006694637320984259,0.07107068240300635,0.005444159190273421,0.0036703119730609472,0.0013834870005835454,0.012082513476873702,0.3358030810456082,0.005207939609648696,0.002706282946449669,0.007395149823194412,0.0031379202589379446,0.011808326772287143,0.006027457390161977,0.004929754784724089,0.20488897005425105,0.009030621916255564,0.003054846872688503,0.07908374154618494,0.21971537064890806
2928,file2928.txt,0.0013724846720906212,0.001338474648930913,0.10602036985011389,0.0010884636032611683,0.053197265845499116,2.7660382312305647E-4,0.015531548378541883,0.5917724200434926,0.001041235664675721,5.410735403548912E-4,0.0014785297677539291,6.273718075496386E-4,0.17286708469911855,0.0012050837898201442,9.85617515696722E-4,0.0016163468480614618,0.0018055135654773426,6.107627492594763E-4,0.002695536276791519,0.04392821291038749
2929,file2929.txt,0.5655632684670879,0.0033742748845753505,0.0027566127956859168,0.035808898061219896,0.0018499346440226487,6.973141658582339E-4,0.006089907460672429,0.00392917830661208,0.0026249397812993292,0.03442893577145515,0.06985714646129733,0.0015815950904981642,0.005951710084681509,0.003037998492572779,0.06861452193064628,0.004074786607675104,0.004551673117317854,0.001539723899071635,0.006795407269390014,0.1768721727083603
2930,file2930.txt,0.007901437245881514,0.007705640477296787,0.006295120541533734,0.006266319056586397,0.004224590989458914,0.0015924168734420912,0.16492404416989112,0.008972841999432064,0.005994426334887122,0.003114977319206687,0.008511942183135782,0.07912023282542673,0.013591583290176724,0.1579545724812876,0.0056742309091558875,0.009305359431141799,0.010394398148342346,0.3055499149935201,0.015518286774468985,0.17738766395572766
2931,file2931.txt,0.008546792132809672,0.008335003539254525,0.00680927849518934,0.0067781246307339294,0.004569637131759297,0.001722478529229887,0.4234212181778336,0.009705704547569872,0.006484024898941613,0.003369395062847975,0.009207160447129445,0.0039067951272229555,0.014701684455882822,0.007504346579348334,0.006137677309200546,0.010065380550924853,0.011243367194474581,0.330505897646465,0.01678575266643392,0.1102002808767479
2932,file2932.txt,0.6473489423227485,0.0050411140800342485,0.004118336547226412,0.004099494301507618,0.002763773521758988,0.0010417764941985958,0.009098226817986395,0.005870131142833678,0.003921619116225436,0.002037852151174968,0.05496704667394417,0.0023628784116166432,0.008891762092448989,0.1033356048322342,0.0037121437749125293,0.05548610889493015,0.006800128686703629,0.0023003235043051575,0.010152232535020699,0.0666505040981889
2933,file2933.txt,0.0017966470472730095,0.01892140834280909,0.0014313990456697545,0.018594132114431273,9.60597254772064E-4,3.6208742595389247E-4,0.003162245978494269,0.0020402655342646263,0.0013630265025877568,7.082907360673116E-4,0.5856910536449313,8.212592304287428E-4,0.14044474173007696,0.001577511411766043,0.0012902197272773282,0.002115874115748899,0.15688704040638143,7.995171912338343E-4,0.0035285838822067365,0.057504098677625654
2934,file2934.txt,0.004502027099355576,0.004390467350071464,0.0035867909077512412,0.0035703805938172573,0.002407058681400129,9.073164406189702E-4,0.007923936485809992,0.005112484802778726,0.0034154634106369815,0.0017748305616495411,0.004849876444516383,0.002057906318660639,0.5240162926415447,0.003952918374308949,0.003233024641730339,0.005301944320329869,0.35010389797222985,0.0020034252508297047,0.008841903747403155,0.05804805395455653
2935,file2935.txt,0.0021250113141488905,0.002072353761406419,0.0016930087474481823,0.0016852628805289354,0.0011361608490823506,4.2826434832091424E-4,0.0037401939866940613,0.022720381250119884,0.0016121400938932699,0.10237387405380781,0.5099698630880594,9.713567053468682E-4,0.06457699783405446,0.02217305185257845,0.12336938582634636,0.0025025819301045843,0.002795467834729544,9.456409815201011E-4,0.10570961818555555,0.027399384476253973
2936,file2936.txt,0.004316327133674202,0.004209369009648287,0.0034388426760377957,0.0034231092560156225,0.33229239743225997,8.69891381158709E-4,0.007597089334293082,0.25239007360164994,0.0032745821089157938,0.0017016222119184275,0.2933863754954115,0.0019730216379785824,0.007424689701302275,0.0037898680882376993,0.00309966858860878,0.005083249306594668,0.0056781597283821214,0.001920787809491884,0.00847719221052995,0.055653683287890686
2937,file2937.txt,8.560214887204515E-4,8.348093679233252E-4,6.819972480889092E-4,0.1315651242121222,4.576813756151237E-4,1.7251836852567298E-4,0.0914909629222539,9.720947376264726E-4,0.3769473816315195,3.374686704634159E-4,0.03364372384193014,3.91293075690118E-4,0.0014724773481165682,0.041653565480588385,6.147316543874329E-4,0.0010081188251513129,0.05838883566144759,0.008561324424865725,0.0016812114725072175,0.24826865819245664
2938,file2938.txt,0.002969141807037906,0.002895566791101298,0.0023655323707029788,0.0023547095684202063,0.001587484571996839,5.983862639210288E-4,0.061973899088527046,0.0033717461114236937,0.0022525397957693606,0.0011705224123943038,0.0031985526947279305,0.22834907947236407,0.0051073414766074415,0.0026069979024890867,0.0021322192015057724,0.0034966969750874983,0.0039059276358015963,0.0013212833992859226,0.6584329557019767,0.009909416758859388
2939,file2939.txt,0.002736228687107694,0.0026684252333342984,0.02832816673728156,0.002169995335233273,0.0014629549912174929,5.514460971284326E-4,0.004815986631976552,0.23844102917153734,0.0020758402287914517,0.0010787012584255824,0.08139223630138546,0.0012507482030273518,0.2923368716452518,0.0024024930136754353,0.0019649581345467454,0.029370597594919015,0.10819231909335396,0.0012176358610948472,0.05767030123367567,0.13987306454703607
2940,file2940.txt,0.006864744965917528,0.006694637320984259,0.005469181833958433,0.005444159190273421,0.0036703119730609472,0.0013834870005835454,0.012082513476873702,0.07339707876941653,0.005207939609648696,0.002706282946449669,0.07299665039224233,0.0031379202589379446,0.011808326772287143,0.006027457390161977,0.004929754784724089,0.00808446834710731,0.1402336230543514,0.003054846872688503,0.07908374154618494,0.5477228734941476
2941,file2941.txt,0.0054378266211820864,0.057268531486445735,0.05629780140054924,0.004312526382524548,0.0029073942665379924,0.0010959128822970088,0.00957102030177948,0.006175175170517838,0.004125407832550287,0.002143750062634432,0.0058579805624026865,0.6260711099776578,0.00935382654312166,0.004774579160186279,0.003905047010102498,0.006404016087162563,0.007153500458626485,0.002419860858693983,0.1665761587834037,0.01814857415162372
2942,file2942.txt,0.0032453962636712574,0.003164975691890473,0.0025856258866705077,0.002573796110804732,0.0017351870787653937,6.54061230945012E-4,0.19179587000807408,0.003685459618710238,0.002462120273148466,0.001279429987049939,0.18957985869758165,0.03249744318684302,0.005582537993364162,0.0028495578190580076,0.002330604827796493,0.003822036142309008,0.004269342382150148,0.0014442180555772448,0.3785413158756707,0.16590116286991946
2943,file2943.txt,0.8355209307433656,0.003266275810219621,0.0026683829861786496,0.00265617457938118,0.0017907245215497175,6.749955086581094E-4,0.005894990214400882,0.003803418659100101,0.002540924377600073,0.0013203801938442932,0.003608051911152456,0.0015309736054021554,0.03776781838886931,0.0029407624829661545,0.002405199569689518,0.003944366533176219,0.0044059895259521056,0.0014904425685483636,0.07059111401531074,0.011178083804634647
2944,file2944.txt,0.006068534965882299,0.643837704503756,0.004834836743233465,0.00481271636019007,0.003244609472719106,0.001223022745865798,0.18465917697695075,0.006891405161165189,0.004603894795548653,0.0023923937115857153,0.006537420618363106,0.002773967409723015,0.01043873359636322,0.005328360501252023,0.004357975341087582,0.007146788276705049,0.06597588797962575,0.002700529321098903,0.011918498239107074,0.020253543279777242
2945,file2945.txt,0.0023651605713898402,0.002306552145776701,0.001884337043205964,0.0018757158095651571,0.3855013251025153,4.7666285070406E-4,0.004162876351658971,0.18350316887288629,0.0017943293573287383,0.06873890345126003,0.0025479048192145323,0.001081130516785842,0.2074878730523687,0.0020766837858830784,0.0016984843138876052,0.0027854007497963504,0.02571354862238265,0.0914611594125958,0.004645134659979156,0.007893648510815202
2946,file2946.txt,0.0032453962636712574,0.003164975691890473,0.033599577008678404,0.033587747232812624,0.0017351870787653937,6.54061230945012E-4,0.1297679677640583,0.003685459618710238,0.002462120273148466,0.001279429987049939,0.0034961519655343064,0.09452534543085879,0.16065229360340363,0.0028495578190580076,0.002330604827796493,0.18990574287435635,0.004269342382150148,0.0014442180555772448,0.006373902411576015,0.3209709184799589
2947,file2947.txt,0.0013040687254904542,0.4125197416729531,0.0010389590609842041,0.001034205607327772,6.972347961396131E-4,2.6281560910725754E-4,0.11445380986292035,0.0014808954707987636,0.013451392129639504,5.141019761571678E-4,0.0014048276596762288,5.960984265373862E-4,0.0022431816069736713,0.0011450124827304443,9.364862163144263E-4,0.001535774800961019,0.001715511890272172,5.803173005864083E-4,0.2268782526972954,0.21620731200713478
2948,file2948.txt,0.006864744965917528,0.006694637320984259,0.005469181833958433,0.005444159190273421,0.0036703119730609472,0.0013834870005835454,0.07768401404592161,0.0077955782003686245,0.005207939609648696,0.002706282946449669,0.007395149823194412,0.06873942082798586,0.011808326772287143,0.006027457390161977,0.004929754784724089,0.00808446834710731,0.1402336230543514,0.003054846872688503,0.6038957460985682,0.022910868941764327
2949,file2949.txt,0.0017966470472730095,0.001752126325890744,0.0014313990456697545,0.0014248500975129262,0.7392397239822611,3.6208742595389247E-4,0.020331527995412615,0.03637882956810132,0.0013630265025877568,7.082907360673116E-4,0.001935465069707497,8.212592304287428E-4,0.02025976761164851,0.001577511411766043,0.0012902197272773282,0.002115874115748899,0.15688704040638143,7.995171912338343E-4,0.0035285838822067365,0.00599625262687061
2950,file2950.txt,0.010215508350142444,0.009962369147467547,0.008138754312161428,0.008101517819505693,0.005461834750538399,0.0020587834037452462,0.01798013151639562,0.1092230628767171,0.007749996661717643,0.004027251729607347,0.3038719217772915,0.004669576330426319,0.017572111031423726,0.008969530784469232,0.007336026526481831,0.012030593170812518,0.013438575511618851,0.004545953839697364,0.21530782371504922,0.229338676744731
2951,file2951.txt,0.0012421497457018496,0.036822402732997805,9.89627853325594E-4,9.85100100197919E-4,6.641291273920985E-4,2.5033676188828004E-4,0.0496676630717594,0.001410580513516939,0.20273821256479585,4.896917060167002E-4,0.0013381245068701906,0.1074008948267829,0.10896977222851591,0.02483133459578424,8.920205605043987E-4,0.001462854097472183,0.08472646811367532,0.2023486185436099,0.03805059404924843,0.1347194242999442
2952,file2952.txt,0.006442131474337871,0.006282496146457393,0.005132483232275672,0.005109001054677715,0.18813300616895526,0.0012983155521503504,0.011338679112615224,0.007315659931227259,0.0048873238324716834,0.00253967636588769,0.1300656492012039,0.0029447408409825305,0.07264425519295627,0.0056563897356969,0.004626264867393226,0.007586765167644826,0.008474670795257955,0.002866781691896236,0.505155299839633,0.021500409796278968
2953,file2953.txt,0.004502027099355576,0.004390467350071464,0.0035867909077512412,0.0035703805938172573,0.002407058681400129,9.073164406189702E-4,0.6532641525897511,0.09115784694997087,0.0034154634106369815,0.0017748305616495411,0.004849876444516383,0.002057906318660639,0.007744119758391816,0.003952918374308949,0.003233024641730339,0.005301944320329869,0.09196781153065339,0.08804878739802185,0.008841903747403155,0.015025372880960453
2954,file2954.txt,0.6473489423227485,0.0050411140800342485,0.004118336547226412,0.004099494301507618,0.002763773521758988,0.0010417764941985958,0.009098226817986395,0.005870131142833678,0.003921619116225436,0.002037852151174968,0.00556860545392281,0.051761319631638006,0.008891762092448989,0.004538722392191478,0.0037121437749125293,0.006087667674908793,0.10559701112674634,0.0023003235043051575,0.010152232535020699,0.11604894531821025
2955,file2955.txt,0.004925875872715498,0.3813886395475324,0.2392899901351047,0.003906518382799942,0.0026336741252882454,0.23635825331124302,0.008669945047191872,0.005593805853198253,0.0037370163344879717,0.0019419241263649862,0.005306473914187254,0.0022516503920756562,0.008473199257006236,0.004325070644201453,0.003537401647554216,0.005801102265628796,0.05355312882053553,0.002192040138377585,0.009674335444235845,0.016439954740270473
2956,file2956.txt,0.002419854516875159,0.025484724734044176,0.0019279120244413866,0.0019190914262041672,0.0012938020349551923,4.876855999781039E-4,0.02738397612895021,0.0027479775597598175,0.001835822925773766,9.539773209962426E-4,0.0026068246950866434,0.0011061314804679196,0.0041624900879092906,0.002124706753604289,0.024862595434510547,0.002849812679627654,0.3038061775993273,0.001076847725580318,0.4903740656384267,0.10057552363348111
2957,file2957.txt,0.002666504403100593,0.0026004287096163255,0.07857009553473406,0.0021146997483692154,0.0014256761300689839,5.373942072144237E-4,0.03017515822254465,0.10495564039780572,0.027504835934184783,0.0010512139094128125,0.0028725319968971115,0.0012188767723460836,0.004586762580093286,0.002341272946069299,0.0019148872834951758,0.5892238041217926,0.0035078059304441567,0.001186608195535961,0.1071645369276092,0.034381266048665475
2958,file2958.txt,0.0014484767627810408,0.0014125836637539722,0.0011540097756354377,0.028832860859121984,7.744441536474823E-4,2.9191889602661473E-4,0.19633835418338197,0.0016448846871570807,0.0010988870735906269,5.71031841809875E-4,0.0015603933910674748,6.621082940586674E-4,0.04401778011721008,0.0012718071846294092,0.0010401894443761164,0.04323203754067746,0.057273743549472074,6.445796210802435E-4,0.5980535981737947,0.01867631078672776
2959,file2959.txt,0.3787136749509569,0.002740073209014914,0.0022385019381837533,0.002228260326533617,0.0015022357483933692,5.662525815158025E-4,0.058645865490838896,0.0031906814292473585,0.0021315771287320393,0.0011076646937000093,0.003026788597445222,0.0012843311476471273,0.004833074337069622,0.45892183075404974,0.002017717818752518,0.0033089223605291566,0.0036961771022178086,0.0012503297299256999,0.03236848108263198,0.03622755957261443
2960,file2960.txt,0.0016546051362209169,0.0016136041981795993,0.0013182334374142683,0.28592618948554266,8.846529728796816E-4,3.33460996501047E-4,0.002912240579446146,0.03350273964184978,0.0012552663893612465,6.522936664791597E-4,0.001782448283414886,7.563309348370581E-4,0.09771748261153634,0.01726468242154426,0.5387924137971997,0.0019485942911429473,0.002176645087339891,7.363078091049256E-4,0.0032496160133106172,0.005522192246694888
2961,file2961.txt,0.006068534965882299,0.005918157319463288,0.06282752285089645,0.00481271636019007,0.003244609472719106,0.001223022745865798,0.18465917697695075,0.006891405161165189,0.004603894795548653,0.0023923937115857153,0.006537420618363106,0.002773967409723015,0.01043873359636322,0.005328360501252023,0.3523140919870654,0.007146788276705049,0.007983201871962782,0.002700529321098903,0.011918498239107074,0.3102169738180921
2962,file2962.txt,0.0025371991342448288,0.002474327611472179,0.0020214011566403746,0.2687204987339459,0.001356541635077917,5.113346581041386E-4,0.004465678315105191,0.002881233659678939,0.14740212602016955,0.0010002379961446823,0.002733235950086288,0.24362190312342893,0.004364339332673601,0.05072016546843111,0.0018220297525895772,0.14846528659766303,0.003337703909085216,0.0011290666847956006,0.10196786849416681,0.00846782176649613
2963,file2963.txt,0.0017663205909152948,0.08611991922994926,0.0014072377833033562,0.001400799377943884,9.443828787940989E-4,3.5597558081573087E-4,0.5601314968999657,0.0020058269260934004,0.001340019332755554,6.96335161304577E-4,0.0019027954382083913,8.073968069506477E-4,0.03679726697443102,0.0015508838495771685,0.0012684414974850453,0.2721517364715681,0.002323607580273911,7.860217619317923E-4,0.003469023243810509,0.02277451261392266
